CASEID,weight,wdtotal,wdprmor,fmsz27,nbear27,dvfcrn, atinc27 ,wdstcred,wdsloan,wnetwpg,dvphlv2g,hcsex_r,wdstomor,wdstloc,ecpage,ecfexchr,watotpt
163,4806.2041,151800,120000,4,2,2,71425,4800,6000,70700,4,1,0,9000,43,5250,221500
164,203.6904,455000,410000,4,3,3,538950,15000,0,4013500,4,1,0,30000,46,0,4438500
165,5942.3897,83750,49000,3,2,3,38850,19500,9000,75800,4,1,0,0,29,0,159550
166,2026.0269,175500,125000,4,3,2,84800,4500,0,254601,3,2,0,46000,42,0,409101
167,2415.8431,180000,180000,3,2,2,67975,0,0,232400,4,2,0,0,31,5750,456900
168,212.2704,385750,380000,5,3,2,388175,0,5750,1469250,3,2,0,0,40,0,1720000
169,3878.5239,350500,300000,5,3,2,135375,10500,0,236501,4,1,0,0,43,0,583501
170,4012.6197,198125,190000,4,3,3,86825,125,0,254100,2,1,0,8000,43,0,433225
171,3726.6952,172750,165000,4,3,1,66425,0,0,62875,2,1,0,2000,40,0,232625
172,2580.1793,68200,60000,2,1,3,29550,3200,0,34750,2,2,0,5000,47,0,102950
173,2616.4267,3000,3000,1,1,9,9350,0,0,696550,2,2,0,0,60,0,699550
174,4658.9788,217000,180000,2,2,3,78000,37000,0,265900,2,2,0,0,37,0,466900
175,9836.3611,55100,38000,1,1,1,23725,1100,0,97425,2,2,0,0,41,0,152525
176,3256.5716,260000,260000,4,2,1,50425,0,0,197500,4,2,0,0,53,0,457500
177,9767.0082,63500,39000,1,1,9,33600,0,0,46300,3,2,0,0,35,0,109800
178,3117.8145,164500,150000,2,1,9,64600,0,0,266925,3,1,0,0,58,0,426425
179,3065.1092,168750,130000,5,3,3,74700,15500,8250,172550,3,1,0,15000,51,0,341300
180,235.8269,331000,330000,3,2,2,109800,0,0,894900,4,2,0,0,45,0,1185900
181,5613.4628,100000,100000,3,2,3,118750,0,0,359150,4,1,0,0,39,5750,455150
182,2460.2521,117150,92500,1,1,1,49250,4100,0,64350,3,2,0,5750,42,0,167500
183,2912.3104,173000,135000,4,2,2,49575,0,0,175000,3,2,0,38000,44,2000,348000
184,37.9616,166500,155000,2,1,2,93325,11500,0,280025,4,1,0,0,59,0,446525
185,6233.1926,236000,190000,3,2,3,24925,0,0,206000,4,2,0,14000,31,0,442000
186,5861.4888,140000,140000,2,2,1,88500,0,0,506000,3,1,0,0,31,0,630000
187,12362.1263,228500,110000,3,2,1,69825,8500,0,397800,2,2,0,50000,40,0,626300
188,2636.4823,182500,170000,4,3,1,148100,0,0,2497250,2,1,0,0,51,0,2679750
189,4691.5064,287500,230000,2,2,2,88200,5000,11500,203500,3,1,0,1000,34,7000,476000
190,5352.8306,308500,240000,3,3,3,65925,13000,0,198800,3,1,0,15500,53,0,492300
191,4698.6279,103050,90000,4,2,3,90725,8250,0,155470,1,1,0,0,32,0,258520
192,6166.3065,160000,160000,3,1,1,20525,0,0,56800,2,2,0,0,34,0,216800
193,6306.0314,132100,105000,3,2,3,60700,18500,3100,386600,2,1,0,5500,65,0,538700
194,3394.5231,122250,75000,5,3,3,98900,10250,3000,329450,3,1,0,1500,45,0,431700
195,276.4912,230000,230000,3,1,2,63925,0,0,2166500,4,2,0,0,44,2100,2356500
196,3975.765,97000,95000,2,2,3,53900,0,0,133251,4,1,0,2000,28,0,230251
197,4540.2022,320500,310000,2,2,1,130025,0,0,706300,4,2,0,0,34,0,1029300
198,4957.3232,99050,72500,2,2,3,47525,1050,0,248050,1,1,0,12500,58,0,347100
199,4202.7448,50000,50000,5,2,1,153800,0,0,317000,4,1,0,0,38,9000,367000
200,1262.2628,210000,210000,1,1,2,43775,0,0,181600,1,1,0,0,75,0,391600
201,2776.5049,244250,110000,1,1,1,1150,7750,0,-94149,4,2,0,11500,44,0,150101
202,6112.4973,173250,85000,3,3,2,91900,37000,0,105100,4,2,0,9250,53,0,278350
203,3800.0577,97800,97500,2,1,2,48450,300,0,887950,3,1,0,0,59,0,935750
204,3273.7935,352000,200000,4,3,3,66375,20000,0,397800,2,2,0,130000,39,0,704800
205,3860.3199,43000,43000,4,3,3,80150,0,0,847750,4,1,0,0,56,0,865750
206,6376.2126,95000,95000,4,1,2,95425,0,0,413900,4,1,0,0,34,0,508900
207,2935.624,55000,55000,2,1,2,38025,0,0,198775,1,1,0,0,70,0,253775
208,4647.0784,77500,77500,4,1,9,44275,0,0,77975,2,1,0,0,44,0,155475
209,4006.9636,186800,120000,2,2,2,92350,38000,3900,205200,2,1,0,20000,36,0,392000
210,4915.5213,242000,170000,5,3,3,115575,4500,0,384100,2,1,0,67500,50,0,646100
211,611.913,111000,50000,2,2,2,73775,14000,0,399000,3,1,0,44000,56,0,500000
212,3716.9337,25000,25000,3,2,3,92050,0,0,1127001,4,1,0,0,51,0,1122001
213,2649.8825,160000,160000,1,1,9,37400,0,0,22450,2,1,0,0,35,0,182450
214,59.599,663000,550000,4,3,3,105025,0,0,584500,1,1,0,105000,42,0,1247500
215,331.8757,240000,240000,1,1,1,106125,0,0,660250,4,1,0,0,39,11500,900250
216,2069.5031,40500,16500,2,2,1,58450,0,0,438600,1,1,0,0,51,0,479100
217,176.8128,24000,24000,2,0,1,110325,0,0,3580500,4,1,0,0,77,0,3604500
218,200.3146,200000,200000,5,3,2,165650,0,0,967001,4,2,0,0,45,21000,1152001
219,4411.6425,111000,62500,5,2,3,106225,10000,0,474000,3,1,0,24000,41,700,571000
220,4783.0917,219000,200000,5,3,1,22300,0,19000,102601,2,1,0,0,55,0,321601
221,214.6868,340000,210000,4,3,3,287175,10000,0,4390750,4,1,0,120000,64,13000,4730750
222,3495.1005,70000,40000,2,2,2,51800,0,0,1363000,3,2,0,0,56,0,1433000
223,198.259,367500,300000,1,1,1,76550,0,0,573500,4,1,0,67500,31,0,941000
224,1452.229,161000,130000,2,2,1,81725,12000,0,261250,3,1,0,9500,48,5250,407250
225,4731.0268,115000,105000,3,3,3,129800,0,0,685650,2,1,0,10000,56,0,780650
226,133.1025,175000,175000,4,1,3,83300,0,0,1072750,4,1,0,0,40,0,1247700
227,4582.0187,91000,43000,5,3,1,115625,4000,15000,385150,3,1,0,11500,47,1850,443650
228,3617.3135,198000,155000,4,3,2,68200,3500,0,145900,3,1,0,21000,46,0,338900
229,213.1395,172000,87500,5,2,3,117150,2000,0,875055,4,1,0,82500,50,11000,1007055
230,3093.4484,8375,8000,2,1,1,35975,50,0,414876,1,2,0,0,59,0,423251
231,3323.1537,36500,24000,3,3,2,38150,0,12500,137750,2,2,0,0,49,0,174250
232,3828.6375,33825,33000,2,2,1,57575,825,0,512275,4,2,0,0,34,4500,545100
